show_id,type,title,country,release_year,rating,listed_in,country_encoded,genre_count,has_drama,content_age,rating_category,ml_predicted_type
s1,Movie,Dick Johnson Is Dead,United States,2020,PG-13,Documentaries,603,1,0,3.0,Teen,Movie
s2,TV Show,Blood & Water,South Africa,2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",426,3,1,3.0,Adult,Movie
s3,TV Show,Ganglands,United States,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",603,3,0,3.0,Adult,Movie
s4,TV Show,Jailbirds New Orleans,United States,2021,TV-MA,"Docuseries, Reality TV",603,2,0,3.0,Adult,Movie
s5,TV Show,Kota Factory,India,2021,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",251,3,0,3.0,Adult,Movie
s6,TV Show,Midnight Mass,United States,2021,TV-MA,"TV Dramas, TV Horror, TV Mysteries",603,3,1,3.0,Adult,Movie
s7,Movie,My Little Pony: A New Generation,United States,2021,PG,Children & Family Movies,603,1,0,3.0,Family,Movie
s8,Movie,Sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1993,TV-MA,"Dramas, Independent Movies, International Movies",663,3,1,3.0,Adult,Movie
s9,TV Show,The Great British Baking Show,United Kingdom,2021,TV-14,"British TV Shows, Reality TV",506,2,0,3.0,Teen,Movie
s10,Movie,The Starling,United States,2021,PG-13,"Comedies, Dramas",603,2,1,3.0,Teen,Movie
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",United States,2021,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",603,3,0,3.0,Adult,Movie
s12,TV Show,Bangkok Breaking,United States,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",603,3,0,3.0,Adult,Movie
s13,Movie,Je Suis Karl,"Germany, Czech Republic",2021,TV-MA,"Dramas, International Movies",218,2,1,3.0,Adult,Movie
s14,Movie,Confessions of an Invisible Girl,United States,2021,TV-PG,"Children & Family Movies, Comedies",603,2,0,3.0,Family,Movie
s15,TV Show,Crime Stories: India Detectives,United States,2021,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",603,3,0,3.0,Adult,Movie
s16,TV Show,Dear White People,United States,2021,TV-MA,"TV Comedies, TV Dramas",603,2,1,3.0,Adult,Movie
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,United States,2020,TV-MA,"Documentaries, International Movies",603,2,0,3.0,Adult,Movie
s18,TV Show,Falsa identidad,Mexico,2020,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",342,3,1,3.0,Adult,Movie
s19,Movie,Intrusion,United States,2021,TV-14,Thrillers,603,1,0,3.0,Teen,Movie
s20,TV Show,Jaguar,United States,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",603,3,0,3.0,Adult,Movie
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,United States,2021,TV-14,"Crime TV Shows, Docuseries, International TV Shows",603,3,0,3.0,Teen,Movie
s22,TV Show,Resurrection: Ertugrul,Turkey,2018,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas",492,3,1,3.0,Teen,Movie
s23,Movie,Avvai Shanmughi,United States,1996,TV-PG,"Comedies, International Movies",603,2,0,3.0,Family,Movie
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,United States,2021,TV-Y,Children & Family Movies,603,1,0,3.0,Family,Movie
s25,Movie,Jeans,India,1998,TV-14,"Comedies, International Movies, Romantic Movies",251,3,0,3.0,Teen,Movie
s26,TV Show,Love on the Spectrum,Australia,2021,TV-14,"Docuseries, International TV Shows, Reality TV",15,3,0,3.0,Teen,Movie
s27,Movie,Minsara Kanavu,United States,1997,TV-PG,"Comedies, International Movies, Music & Musicals",603,3,0,3.0,Family,Movie
s28,Movie,Grown Ups,United States,2010,PG-13,Comedies,603,1,0,3.0,Teen,Movie
s29,Movie,Dark Skies,United States,2013,PG-13,"Horror Movies, Sci-Fi & Fantasy",603,2,0,3.0,Teen,Movie
s30,Movie,Paranoia,"United States, India, France",2013,PG-13,Thrillers,673,1,0,3.0,Teen,Movie
s31,Movie,Ankahi Kahaniya,United States,2021,TV-14,"Dramas, Independent Movies, International Movies",603,3,1,3.0,Teen,Movie
s32,TV Show,Chicago Party Aunt,United States,2021,TV-MA,TV Comedies,603,1,0,3.0,Adult,Movie
s33,TV Show,Sex Education,United Kingdom,2020,TV-MA,"British TV Shows, International TV Shows, TV Comedies",506,3,0,3.0,Adult,Movie
s34,TV Show,Squid Game,United States,2021,TV-MA,"International TV Shows, TV Dramas, TV Thrillers",603,3,1,3.0,Adult,Movie
s35,TV Show,Tayo and Little Wizards,United States,2020,TV-Y7,Kids' TV,603,1,0,3.0,Family,Movie
s36,Movie,The Father Who Moves Mountains,United States,2021,TV-MA,"Dramas, International Movies, Thrillers",603,3,1,3.0,Adult,Movie
s37,Movie,The Stronghold,United States,2021,TV-MA,"Action & Adventure, Dramas, International Movies",603,3,1,3.0,Adult,Movie
s38,TV Show,Angry Birds,Finland,2018,TV-Y7,"Kids' TV, TV Comedies",156,2,0,3.0,Family,Movie
s39,Movie,Birth of the Dragon,"China, Canada, United States",2017,PG-13,"Action & Adventure, Dramas",106,2,1,3.0,Teen,Movie
s40,TV Show,Chhota Bheem,India,2021,TV-Y7,Kids' TV,251,1,0,3.0,Family,Movie
s41,TV Show,He-Man and the Masters of the Universe,United States,2021,TV-Y7,"Kids' TV, TV Sci-Fi & Fantasy",603,2,0,3.0,Family,Movie
s42,Movie,Jaws,United States,1975,PG,"Action & Adventure, Classic Movies, Dramas",603,3,1,3.0,Family,Movie
s43,Movie,Jaws 2,United States,1978,PG,"Dramas, Horror Movies, Thrillers",603,3,1,3.0,Family,Movie
s44,Movie,Jaws 3,United States,1983,PG,"Action & Adventure, Horror Movies, Thrillers",603,3,0,3.0,Family,Movie
s45,Movie,Jaws: The Revenge,United States,1987,PG-13,"Action & Adventure, Horror Movies, Thrillers",603,3,0,3.0,Teen,Movie
s46,Movie,My Heroes Were Cowboys,United States,2021,PG,Documentaries,603,1,0,3.0,Family,Movie
s47,Movie,Safe House,"South Africa, United States, Japan",2012,R,Action & Adventure,433,1,0,3.0,Adult,Movie
s48,TV Show,The Smart Money Woman,United States,2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",603,3,0,3.0,Adult,Movie
s49,Movie,Training Day,United States,2001,R,"Dramas, Thrillers",603,2,1,3.0,Adult,Movie
s50,TV Show,Castle and Castle,Nigeria,2021,TV-MA,"International TV Shows, TV Dramas",368,2,1,3.0,Adult,Movie
s51,TV Show,Dharmakshetra,India,2014,TV-PG,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",251,3,1,3.0,Family,Movie
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Japan,2002,TV-14,"Action & Adventure, Anime Features, International Movies",319,3,0,3.0,Teen,Movie
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Japan,2003,TV-14,"Action & Adventure, Anime Features, International Movies",319,3,0,3.0,Teen,Movie
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Japan,2004,TV-PG,"Action & Adventure, Anime Features, International Movies",319,3,0,3.0,Family,Movie
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Japan,2001,TV-PG,"Action & Adventure, Anime Features, International Movies",319,3,0,3.0,Family,Movie
s56,TV Show,Nailed It,United States,2021,TV-PG,Reality TV,603,1,0,3.0,Family,Movie
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Japan,2011,TV-14,"Action & Adventure, Anime Features, International Movies",319,3,0,3.0,Teen,Movie
s58,Movie,Naruto Shippûden the Movie: Bonds,Japan,2008,TV-PG,"Action & Adventure, Anime Features, International Movies",319,3,0,3.0,Family,Movie
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Japan,2009,TV-PG,"Action & Adventure, Anime Features, International Movies",319,3,0,3.0,Family,Movie
s60,Movie,Naruto Shippuden: The Movie,Japan,2007,TV-PG,"Action & Adventure, Anime Features, International Movies",319,3,0,3.0,Family,Movie
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Japan,2010,TV-14,"Action & Adventure, Anime Features, International Movies",319,3,0,3.0,Teen,Movie
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Japan,2005,TV-PG,"Action & Adventure, Anime Features, International Movies",319,3,0,3.0,Family,Movie
