show_id,type,title,country,release_year,rating,listed_in,description,year_added,duration,country_encoded,genre_count,has_drama,content_age,is_recent,rating_category,is_international,predicted_content_type,content_prediction_confidence,predicted_rating_category,rating_prediction_confidence,feature_engineering_applied,ml_analysis_date
s1,Movie,Dick Johnson Is Dead,United States,2020,PG-13,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",2021.0,90 min,603,1,0,3.0,1,Teen,0,Movie,1.0,0,0.47843662236982154,True,2025-08-12
s2,TV Show,Blood & Water,South Africa,2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",2021.0,2 Seasons,426,3,1,3.0,1,Adult,1,Movie,1.0,0,0.0,True,2025-08-12
s3,TV Show,Ganglands,United States,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",2021.0,1 Season,603,3,0,3.0,1,Adult,1,Movie,1.0,0,0.0,True,2025-08-12
s4,TV Show,Jailbirds New Orleans,United States,2021,TV-MA,"Docuseries, Reality TV","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",2021.0,1 Season,603,2,0,3.0,1,Adult,0,Movie,1.0,0,0.0,True,2025-08-12
s5,TV Show,Kota Factory,India,2021,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies","In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",2021.0,2 Seasons,251,3,0,3.0,1,Adult,1,Movie,1.0,0,0.0,True,2025-08-12
s6,TV Show,Midnight Mass,United States,2021,TV-MA,"TV Dramas, TV Horror, TV Mysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",2021.0,1 Season,603,3,1,3.0,1,Adult,0,Movie,1.0,0,0.0,True,2025-08-12
s7,Movie,My Little Pony: A New Generation,United States,2021,PG,Children & Family Movies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",2021.0,91 min,603,1,0,3.0,1,Family,0,Movie,1.0,0,0.47908473314705147,True,2025-08-12
s8,Movie,Sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1993,TV-MA,"Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",2021.0,125 min,663,3,1,3.0,1,Adult,1,Movie,1.0,0,0.4611615205292681,True,2025-08-12
s9,TV Show,The Great British Baking Show,United Kingdom,2021,TV-14,"British TV Shows, Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",2021.0,9 Seasons,506,2,0,3.0,1,Teen,0,Movie,1.0,0,0.0,True,2025-08-12
s10,Movie,The Starling,United States,2021,PG-13,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,2021.0,104 min,603,2,1,3.0,1,Teen,0,Movie,1.0,0,0.5522590759077486,True,2025-08-12
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",United States,2021,TV-MA,"Crime TV Shows, Docuseries, International TV Shows","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",2021.0,1 Season,603,3,0,3.0,1,Adult,1,Movie,1.0,0,0.0,True,2025-08-12
s12,TV Show,Bangkok Breaking,United States,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure","Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",2021.0,1 Season,603,3,0,3.0,1,Adult,1,Movie,1.0,0,0.0,True,2025-08-12
s13,Movie,Je Suis Karl,"Germany, Czech Republic",2021,TV-MA,"Dramas, International Movies","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",2021.0,127 min,218,2,1,3.0,1,Adult,1,Movie,1.0,0,0.46679416650670286,True,2025-08-12
s14,Movie,Confessions of an Invisible Girl,United States,2021,TV-PG,"Children & Family Movies, Comedies","When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",2021.0,91 min,603,2,0,3.0,1,Family,0,Movie,1.0,0,0.419320313245791,True,2025-08-12
s15,TV Show,Crime Stories: India Detectives,United States,2021,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,2021.0,1 Season,603,3,0,3.0,1,Adult,0,Movie,1.0,0,0.0,True,2025-08-12
s16,TV Show,Dear White People,United States,2021,TV-MA,"TV Comedies, TV Dramas","Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",2021.0,4 Seasons,603,2,1,3.0,1,Adult,0,Movie,1.0,0,0.0,True,2025-08-12
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,United States,2020,TV-MA,"Documentaries, International Movies","Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",2021.0,67 min,603,2,0,3.0,1,Adult,1,Movie,1.0,0,0.4490707293335027,True,2025-08-12
s18,TV Show,Falsa identidad,Mexico,2020,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,2021.0,2 Seasons,342,3,1,3.0,1,Adult,0,Movie,1.0,0,0.0,True,2025-08-12
s19,Movie,Intrusion,United States,2021,TV-14,Thrillers,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",2021.0,94 min,603,1,0,3.0,1,Teen,0,Movie,1.0,0,0.48080168927970696,True,2025-08-12
s20,TV Show,Jaguar,United States,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",2021.0,1 Season,603,3,0,3.0,1,Adult,1,Movie,1.0,0,0.0,True,2025-08-12
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,United States,2021,TV-14,"Crime TV Shows, Docuseries, International TV Shows","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",2021.0,1 Season,603,3,0,3.0,1,Teen,1,Movie,1.0,0,0.0,True,2025-08-12
s22,TV Show,Resurrection: Ertugrul,Turkey,2018,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas","When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",2021.0,5 Seasons,492,3,1,3.0,1,Teen,1,Movie,1.0,0,0.0,True,2025-08-12
s23,Movie,Avvai Shanmughi,United States,1996,TV-PG,"Comedies, International Movies","Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",2021.0,161 min,603,2,0,3.0,1,Family,1,Movie,1.0,2,0.6417551966059265,True,2025-08-12
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,United States,2021,TV-Y,Children & Family Movies,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",2021.0,61 min,603,1,0,3.0,1,Family,0,Movie,1.0,0,0.4443871075080374,True,2025-08-12
s25,Movie,Jeans,India,1998,TV-14,"Comedies, International Movies, Romantic Movies","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",2021.0,166 min,251,3,0,3.0,1,Teen,1,Movie,1.0,2,0.6661659636173939,True,2025-08-12
s26,TV Show,Love on the Spectrum,Australia,2021,TV-14,"Docuseries, International TV Shows, Reality TV","Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",2021.0,2 Seasons,15,3,0,3.0,1,Teen,1,Movie,1.0,0,0.0,True,2025-08-12
s27,Movie,Minsara Kanavu,United States,1997,TV-PG,"Comedies, International Movies, Music & Musicals",A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,2021.0,147 min,603,3,0,3.0,1,Family,1,Movie,1.0,2,0.5955451786980299,True,2025-08-12
s28,Movie,Grown Ups,United States,2010,PG-13,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",2021.0,103 min,603,1,0,3.0,1,Teen,0,Movie,1.0,0,0.49385854420341696,True,2025-08-12
s29,Movie,Dark Skies,United States,2013,PG-13,"Horror Movies, Sci-Fi & Fantasy","A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",2021.0,97 min,603,2,0,3.0,1,Teen,0,Movie,1.0,0,0.3950675405334943,True,2025-08-12
s30,Movie,Paranoia,"United States, India, France",2013,PG-13,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",2021.0,106 min,673,1,0,3.0,1,Teen,0,Movie,1.0,0,0.49181685295244953,True,2025-08-12
s31,Movie,Ankahi Kahaniya,United States,2021,TV-14,"Dramas, Independent Movies, International Movies","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",2021.0,111 min,603,3,1,3.0,1,Teen,1,Movie,1.0,0,0.4820533273373082,True,2025-08-12
s32,TV Show,Chicago Party Aunt,United States,2021,TV-MA,TV Comedies,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,2021.0,1 Season,603,1,0,3.0,1,Adult,0,Movie,1.0,0,0.0,True,2025-08-12
s33,TV Show,Sex Education,United Kingdom,2020,TV-MA,"British TV Shows, International TV Shows, TV Comedies","Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",2021.0,3 Seasons,506,3,0,3.0,1,Adult,1,Movie,1.0,0,0.0,True,2025-08-12
s34,TV Show,Squid Game,United States,2021,TV-MA,"International TV Shows, TV Dramas, TV Thrillers","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",2021.0,1 Season,603,3,1,3.0,1,Adult,1,Movie,1.0,0,0.0,True,2025-08-12
s35,TV Show,Tayo and Little Wizards,United States,2020,TV-Y7,Kids' TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,2021.0,1 Season,603,1,0,3.0,1,Family,0,Movie,1.0,0,0.0,True,2025-08-12
s36,Movie,The Father Who Moves Mountains,United States,2021,TV-MA,"Dramas, International Movies, Thrillers","When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",2021.0,110 min,603,3,1,3.0,1,Adult,1,Movie,1.0,0,0.48366053227472106,True,2025-08-12
s37,Movie,The Stronghold,United States,2021,TV-MA,"Action & Adventure, Dramas, International Movies","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",2021.0,105 min,603,3,1,3.0,1,Adult,1,Movie,1.0,0,0.5076625243886307,True,2025-08-12
s38,TV Show,Angry Birds,Finland,2018,TV-Y7,"Kids' TV, TV Comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",2021.0,1 Season,156,2,0,3.0,1,Family,0,Movie,1.0,0,0.0,True,2025-08-12
s39,Movie,Birth of the Dragon,"China, Canada, United States",2017,PG-13,"Action & Adventure, Dramas","A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",2021.0,96 min,106,2,1,3.0,1,Teen,0,Movie,1.0,0,0.5906203261434201,True,2025-08-12
s40,TV Show,Chhota Bheem,India,2021,TV-Y7,Kids' TV,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",2021.0,3 Seasons,251,1,0,3.0,1,Family,0,Movie,1.0,0,0.0,True,2025-08-12
s41,TV Show,He-Man and the Masters of the Universe,United States,2021,TV-Y7,"Kids' TV, TV Sci-Fi & Fantasy",Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,2021.0,1 Season,603,2,0,3.0,1,Family,0,Movie,1.0,0,0.0,True,2025-08-12
s42,Movie,Jaws,United States,1975,PG,"Action & Adventure, Classic Movies, Dramas","When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",2021.0,124 min,603,3,1,3.0,1,Family,0,Movie,1.0,0,0.5298066675544406,True,2025-08-12
s43,Movie,Jaws 2,United States,1978,PG,"Dramas, Horror Movies, Thrillers","Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",2021.0,116 min,603,3,1,3.0,1,Family,0,Movie,1.0,0,0.4784454228360875,True,2025-08-12
s44,Movie,Jaws 3,United States,1983,PG,"Action & Adventure, Horror Movies, Thrillers","After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",2021.0,98 min,603,3,0,3.0,1,Family,0,Movie,1.0,0,0.46278061801190257,True,2025-08-12
s45,Movie,Jaws: The Revenge,United States,1987,PG-13,"Action & Adventure, Horror Movies, Thrillers","After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",2021.0,91 min,603,3,0,3.0,1,Teen,0,Movie,1.0,0,0.4653718426763176,True,2025-08-12
s46,Movie,My Heroes Were Cowboys,United States,2021,PG,Documentaries,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",2021.0,23 min,603,1,0,3.0,1,Family,0,Movie,1.0,1,0.5604042701198071,True,2025-08-12
s47,Movie,Safe House,"South Africa, United States, Japan",2012,R,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,2021.0,115 min,433,1,0,3.0,1,Adult,0,Movie,1.0,0,0.534630783420737,True,2025-08-12
s48,TV Show,The Smart Money Woman,United States,2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies","Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",2021.0,1 Season,603,3,0,3.0,1,Adult,1,Movie,1.0,0,0.0,True,2025-08-12
s49,Movie,Training Day,United States,2001,R,"Dramas, Thrillers",A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,2021.0,122 min,603,2,1,3.0,1,Adult,0,Movie,1.0,0,0.5400538684712182,True,2025-08-12
s50,TV Show,Castle and Castle,Nigeria,2021,TV-MA,"International TV Shows, TV Dramas","A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",2021.0,2 Seasons,368,2,1,3.0,1,Adult,1,Movie,1.0,0,0.0,True,2025-08-12
s51,TV Show,Dharmakshetra,India,2014,TV-PG,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",2021.0,1 Season,251,3,1,3.0,1,Family,1,Movie,1.0,0,0.0,True,2025-08-12
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Japan,2002,TV-14,"Action & Adventure, Anime Features, International Movies","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",2021.0,99 min,319,3,0,3.0,1,Teen,1,Movie,1.0,2,0.46369158694686474,True,2025-08-12
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Japan,2003,TV-14,"Action & Adventure, Anime Features, International Movies",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,2021.0,99 min,319,3,0,3.0,1,Teen,1,Movie,1.0,2,0.46369158694686474,True,2025-08-12
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Japan,2004,TV-PG,"Action & Adventure, Anime Features, International Movies","Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",2021.0,88 min,319,3,0,3.0,1,Family,1,Movie,1.0,0,0.44248791972864243,True,2025-08-12
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Japan,2001,TV-PG,"Action & Adventure, Anime Features, International Movies","A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",2021.0,100 min,319,3,0,3.0,1,Family,1,Movie,1.0,2,0.46737473517067524,True,2025-08-12
s56,TV Show,Nailed It,United States,2021,TV-PG,Reality TV,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",2021.0,6 Seasons,603,1,0,3.0,1,Family,0,Movie,1.0,0,0.0,True,2025-08-12
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Japan,2011,TV-14,"Action & Adventure, Anime Features, International Movies","Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",2021.0,102 min,319,3,0,3.0,1,Teen,1,Movie,1.0,2,0.47473130772560745,True,2025-08-12
s58,Movie,Naruto Shippûden the Movie: Bonds,Japan,2008,TV-PG,"Action & Adventure, Anime Features, International Movies","When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",2021.0,93 min,319,3,0,3.0,1,Family,1,Movie,1.0,2,0.44154793963171846,True,2025-08-12
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Japan,2009,TV-PG,"Action & Adventure, Anime Features, International Movies","When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",2021.0,96 min,319,3,0,3.0,1,Family,1,Movie,1.0,2,0.4526271097010103,True,2025-08-12
s60,Movie,Naruto Shippuden: The Movie,Japan,2007,TV-PG,"Action & Adventure, Anime Features, International Movies","The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",2021.0,95 min,319,3,0,3.0,1,Family,1,Movie,1.0,2,0.4489351824716008,True,2025-08-12
